	MA2-THAI3 HOK-IM TOAN7
	7 Koh lin2 ki5-to2 e5 si5, oe7 boh8-tit tauh8-tauh8 teng5, chhin-chhiuN7 goa7-pang lang5; in-ui7 in phah-sng3 kong2 choe7-choe7 oe7, chiah tit-tioh8 thiaN-kiN3.  8 Sou2-i2 lin2 boh8-tit oh8 in; in-ui7 lin2 be7 kiu5 I e5 tai7-seng, lin2 e5 Pe7 i2-keng chai lin2 sou2 khiam3-eng7 e5.  9 Sou2-i2 lin2 tioh8 an2-ni ki5-to2:  Goan2 ti7 thiN-nih8 e5 Pe7, Goan7 li2 e5 mia5 seng3.  10 Li2 e5 kok lim5-kau3.  Li2 e5 chi2-i3 tit chiaN5, ti7 toe7-nih8 chhin-chhiuN7 ti7 thiN-nih8.  11 Goan2 e5 jit8-sit8, kin-a-jit8 hou7 goan2.  12 Sia3-bian2 goan2 e5 kou-hu7, chhin-chhiuN7 goan2 iah8 u7 sia3-bian2 kou-hu7 goan2 e5 lang5.  13 Boh8-tit chhoa7 goan3 jip8 ti7 chhi3, tioh8 kiu3 goan2 thoat-li7 hit e5 phaiN2-e5.  14 In-ui7 lin2 na7 sia3-bian2 lang5 e5 ke3-sit, lin2 e5  ThiN Pe7 iah8 beh sia3-bian2 lin2.  15 Lin2 na7 bo5 sia3-bian2 lang5 e5 ke3-sit, lin2 e5 Pe7 iah8 bo5 beh sia3-bian2 lin2 e5 ke3-sit.
	16 Koh lin2 kim3-chiah8 e5 si5, boh8-tit chhin-chhiuN7 ke2-ho2 e5 lang5 tai3 iu-iong5; in-ui7 in chiong in e5 bin7 piN3 phaiN2 khoaN3, beh hou7 lang5 khoaN3-kiN3 in teh kim3-chiah8.  Goa2 sit8-chai7 ka7 lin2 kong2, In i2-keng siu7-tioh8 in e5 po3-siuN2 lah.  17 Tok8-tok8 li2 kim3-chiah8 e5 si5, tioh8 boah li2 e5 thau5, soe2 li2 e5 bin7;  18 bo5 hou7 lang5 khoaN3-kiN3 li2 teh kim3-chiah8, si7 hou7 li2 toa3 ti7 un2-bat8 e5 Pe7 khoaN3-kiN3; chiu7 li2 e5 Pe7, kam3-chhat ti7 un2-bat8 e5, beh po3-tap li2.
	19 Boh8-tit ui7-tioh8 ka-ki7 chek-chu7 chai5-po2 ti7 toe7-nih8, u7 thang5 kap sian phah-phaiN2, ia7 u7 chhat8 iah khang thau-theh8 e5 sou2-chai7.  20 Tok8-tok8 ui7-tioh8 ka-ki7 chek-chu7 chai5-po2 ti7 thiN-nih8, thang5 kap sian bo5 phah-phaiN2, ia7 bo5 chhat8 iah khang thau-theh8 e5 sou2-chai7.  21 In-ui7 lin2 e5 chai5-po2 ti7 hia, lin2 e5 sim ia7 beh ti7 hia.  22 Seng-khu e5 teng chiu7-si7 bak8-chiu; li2 e5 bak8-chiu na7 kim, thong seng-khu chiu7 kng.  23 Li2 e5 bak8-chiu na7 hoe, thong seng-khu chiu7 am3.  Li2 lai7-bin7 e5 kng na7 am3, hit e5 am3 joa7 toa7 ah!  24 Bo5 lang5 oe7 hok8-sai7 nng7 e5 chu2-lang5; in-ui7 i oe7 oan3-hun7 chit-e5, thiaN3 hit-e5; a2-si7 oe7 tui3-tiong7 chit-e5, khoaN3-khin hit-e5;  lin2 boe7-oe7 hok8-sai7 Siong7-te3 soa3 hok8-sai7 chiN5-chai5.  25 Sou2-i2 goa2 ka7 lin2 kong2, Boh8-tit khoa3-lu7 lin2 e5 siN3-mia7 beh chiah8 sim2-mih8, beh lim sim2-mih8, a2-si7 lin2 e5 seng-khu beh chheng7 sim2-mih8.  Lin2 e5 siN3-mia7 kiam2 bo5 khah toa7 ti7 bi2-niu5, ia7 lin2 e5 seng-khu kiam2 bo5 khah toa7 ti7 i-chiuN5 mah?  26 Chhi3-khoaN3 thiN-tiong e5 pe-chiau2, bo5 cheng3-choh, bo5 siu-seng5, bo5 chek-chu7 ti7 chhek-chhng, lin2 e5 ThiN Pe7 ia7 teh chhi7 in.  Lin2 kiam2 bo5 pi2 hiah-e5 khah kui3-khi3 mah?  27 Lin2 sim2-mih8 lang5 oe7 eng7 khoa3-lu7 hou7 siN3-mia7 khah tng5 chit8 khek ku2?  28 SiaN2-su7 ui7-tioh8 i-chiuN5 khoa3-lu7 ah?  Chhi3-siuN7 soaN-nih8 e5 pek-hap8-hoe, chaiN2-iuN7 toa7 chang5; in bo5 tioh8-boa5, bo5 phang2 cheh;  29 na7-si7 goa2 ka7 lin2 kong2, tng Sou2-lo5-bun5 kek8 hang5-ngou2 e5 si5, i sou2 chheng7 e5 m7 tat8-tioh8 chit ho7 hoe e5 chit8 lui2.  30 TaN soaN-nih8 e5 chhau2, kin-a2-jit8 ti7-teh, bin5-a2-jit8 hiat ti7 he2-lou5, Siong7-te3 hou7 i chheng7 kau3 an2-ni, ho5-hong3 lin2, sio2-sin3 e5 lang5 ah?  31 Sou2-i2 boh8-tit khoa3-lu7 kong2, Goan2 beh chiah8 sim2-mih8?  Beh lim sim2-mih8?  Beh chheng7 sim2-mih8?  32 In-ui7 chiah-e5 long2 si7 goa7-pang lang5 sou2 kiu5 e5; lin2 e5 ThiN Pe7 ia7 chai chiah-e5 long2 si7 lin2 khiam3-eng7 e5.  33 Tok8-tok8 tai7-seng kiu5 I e5 kok kap I e5 gi7, chiu7 chiah e5 mih8 long2 beh soa3 hou7 lin2.  34 Sou2-i2 boh8-tit ui7-tioh8 bin5-a2-jit8 khoa3-lu7; in-ui7 hit e5 bin5-a2-jit8, i beh ka-ki7 khoa3-lu7.  Chit8 jit8 e5 kan-khou2 ti7 chit8 jit8 kau3-giah8.

7	Boh8-tit phoe-pheng5 lang5, chiah bian2 tu2-tioh8 phoe-pheng5.  2 In-ui7 lin2 eng7 sim2-mih8 phoe-pheng5 lai5 phoe-pheng5, iah8 beh an2-ni siu7 phoe-pheng5; lin2 eng7 sim2-mih8 niu5 lai5 niu5, iah8 beh an2-ni niu5 hou7 lin2.  3 Koh li2 chaiN2-iuN7 khoaN3-kiN3 hiaN-ti7 bak8-chiu-lai7 e5 chhau2-a2-iu3, iah8 bo5 siuN7 li2 bak8-chiu-lai7 e5 iN5-a2-chha5 ah?  4 Beh chaiN2-iuN7 ka7 li2 e5 hiaN-ti7 kong2, Li2 bak8-chiu-lai7 e5 chhau2-a2-iu3 hou7 goa2 ka7 li2 theh8-khi2-lai5, iah8 li2 bak8-chiu-lai7 keng3-jian5 u7 iN5-a2-chha5 ah?  5 Ke2-ho2 e5 lang5 ah, tai7-seng theh8-khi3 li2 bak8-chiu-lai7 e5 iN5-a2-chha5, chiah oe7 beng5-beng5 khoaN3-kiN3 thang theh8-khi3 hiaN-ti7 bak8-chiu-lai7 e5 chhau2-a2-iu3.
	6 Boh8-tit eng7 seng3 e5 mih8 hou7 kau2, iah8 boh8-tit eng7 lin2 e5 chin-chu hiat ti7 ti e5 thau5-cheng5; kiaN-liau2 in eng7 kha tah8 i, oat8-lin3-tng2 lai5 ka7 lin2.
	7 Kiu5 chiu7 hou7 lin2, chhe7 chiu7 tu2-tioh8, phah mng5 chiu7 ka7 lin2 khui.  8 In-ui7 kiN3-na7 kiu5 e5 tit-tioh8; chhe7 e5 tu2-tioh8; phah mng5 e5, chiu7 ka7 i khui.  9 Lin2 tiong-kan u7 sim2-mih8 lang5, i e5 kiaN2 ka7 i tho2 piaN2, kiam2 beh eng7 chioh8-thau5 hou7 i?  10 a2-si7 beh tih8 hi5, kiam2 beh eng7 choa5 hou7 i?  11 Lin2 chiah-e5 sui-jian5 phaiN2, iau2-ku2 oe7 hiau2-tit eng7 ho2 mih8 hou7 lin2 e5 kiaN2-ji5, ho5-hong3 lin2 ti7 thiN-nih8 e5 Pe7, kiam2 bo5 beh eng7 ho2 mih8 hou7 kiu5 I e5 lang5 mah?  12 Sou2-i2 lin2 kiN3-na7 ai3 lang5 khoan2-thai7 lin2 e5, lin2 iah8 tioh8 an2-ni khoan2-thai7 lang5; in-ui7 che si7 lut8-hoat kap sian-ti.
	13 Lin2 tioh8 tui3 hit e5 oeh8 mng5 jip8; in-ui7 thau3 kau3 biat8-bo5 e5, hit e5 mng5 khoah, hit e5 lou7 toa7 tiau5, tui3 hia jip8 e5 lang5 choe7.  14 Thau3 kau3 oah8 e5, hit e5 mng5 oeh8, hit e5 lou7 soe3 tiau5, chhe7-tioh8 e5 lang5 chio2.
	15 Kin2-sin7 ti5-hong5 ke2 e5 sian-ti, in chiu7-kun7 lin2, goa7-bin7 si7 iuN5-ko, lai7-bin7 si7 hiong5-ok e5 chhai5-long5.  16 Lin2 beh tui3 in e5 ke2-chi2 lai5 bat i; kiam2 tui3 chhi3-phe3 ban2 phu5-to5, tui3 chit8-le5 ban2 bu5-hoa-ko2 mah?  17 An2-ni kiN3-na7 ho2 chhiu7 kiat ho2 ke2-chi2; phaiN2 chhiu7 kiat phaiN2 ke2-chi2.  18 Ho2 chhiu7 boe7 kiat phaiN2 ke2-chi2, phaiN2 chhiu7 boe7 kiat ho2 ke2-chi2.  19 KiN3-na7 chhiu7 bo5 kiat ho2 ke2-chi2 e5, chiu7 chho3 i, hiat-loh8 he2.  20 Sou2-i2 lin2 beh tui3 in e5 ke2-chi2 lai5 bat i.  21 KiN3-na7 chheng-hou goa2 kong2, Chu2 ah, Chu2 ah e5, bo5 it-chin7 jip8 thian-kok; tok8-tok8 kiaN5 goa2 ti7 thiN-nih8 e5 Pe7 e5 chi2-i3 e5, chiah oe7.  22 Tng hit jit8 choe7-choe7 lang5 beh ka7 goa2 kong2, Chu2 ah, Chu2 ah, goan2 kiam2 m7 si7 eng7 li2 e5 mia5 thoan5 kau3, eng7 li2 e5 mia5 koaN2 kui2, eng7 li2 e5 mia5 kiaN5 choe7-choe7 koan5-leng5 mah?  23 Chiu7 hit si5 goa2 beh beng5-beng5 ka7 in kong2,  Goa2 long2 m7 bat lin2; choe3 put-hoat e5, tioh8 li7-khui goa2 khi3.
	24 Sou2-i2 kiN3-na7 thiaN goa2 chiah e5 oe7 lai5 kiaN5 e5, beh pi2-pheng7 ti3-sek e5 lang5, khi2 i e5 chhu3 ti7 chioh8-poaN5 teng2;  25 hou7 loh8, toa7 chui2 kau3, hong chhe, chhiong-tioh8 hit keng chhu3, iah8 bo5 to2; in-ui7 toe7-ki ti7 chioh8-poaN5 teng2.  26 KiN3-na7 thiaN goa2 chiah e5 oe7, bo5 kiaN5 e5, beh pi2-pheng7 gong7 lang5, khi2 i e5 chhu3 ti7 soa teng2;  27 hou7 loh8, toa7 chui2 kau3, hong chhe, chhiong-tioh8 hit keng chhu3, chiu7 to2; koh i e5 to2 si7 siong-tiong7.
	28 Ia5-sou kong2 chiah e5 oe7 soah, cheng3 lang5 ki5-koai3 I e5 ka3-si7.  29 In-ui7 I ka3-si7 lang5, chhin-chhiuN7 u7 koan5-leng5 e5, bo5 chhin-chhiuN7 in e5 keng-hak8-su7.

8	Ia5-sou i2-keng loh8 soaN, kui toa7 tin7 e5 lang5 te3 I.  2 Tu2-tng7 u7 chit8 e5 thai2-ko e5 chiu7-kun7 lai5 pai3 I kong2, Chu2 ah, li2 na7 kheng2, chiu7 oe7 hou7 goa2 chheng-khi3.  3 I chiu7 chhun chhiu2 bong i kong2, Goa2 kheng2, li2 thang chheng-khi3; i e5 thai2-ko liam5-piN chheng-khi3.  4 Ia5-sou koh ka7 i kong2, Kin2-sin7 boh8-tit ka7 lang5 kong2; tok8-tok8 khi3, chiong pun2-sin hou7 che3-si giam7, iah8 tioh8 hian3 Mou5-se sou2 hoan-hu3 e5 le2-mih8, lai5 choe3 cheng3-ku3 ti7 lang5.
	5 I2-keng jip8 Ka-pek-long5, u7 pe2-chong2 chiu7-kun7 I, lai5 kiu5 I kong2,  6 Chu2 ah, goa2 e5 lou5-pok8 pian3-sui7, to2 ti7 chhu3-lai7, kan-khou2 kau3 kek8.  7 I chiu7 ka7 i kong2, Goa2 lai5 khi3 i i.  8 Pe2-chong2 in3 kong2, Chu2 ah, li2 kau3 goa2 tau, goa2 tng boe7 khi2; li2 kan-ta kong2 chit8 ku3 oe7, goa2 e5 lou5-pok8 chiu7 oe7 ho2.  9 In-ui7 goa2 iah8 si7 hou7 lang5 koan2 e5 lang5, ia7 u7 peng hou7 goa2 koan2;  ka7 chit-e5 kong2, Khi3, i chiu7 khi3; ka7 hit-e5 kong2, Lai5, i chiu7 lai5; ka7 goa2 e5 lou5-pok8 kong2, KiaN5 an2-ni, i chiu7 kiaN5 an2-ni.  10 Ia5-sou thiaN-kiN3 chiu7 ki5-koai3, ka7 te3 I e5 lang5 kong2, Goa2 sit8-chai7 ka7 lin2 kong2, chhin-chhiuN7 chit ho7 e5 chhim sin3, lian5 I2-sek-liat8 tiong, goa2 be7 bat tu2-tioh8.  11 Goa2 koh ka7 lin2 kong2, tui3 tang tui3 sai, u7 choe7-choe7 lang5 beh kau3, kap A-pek-lah8-han2, I2-sat, Nga2-kok, che7 toh ti7 thian-kok;  12 na7-si7 kok e5 chu2-bin5 beh tu2-tioh8 koaN2-chhut ti7 goa7-bin7 e5 ou-am3; ti7 hia beh u7 thi5-khau3 ka7-ge5 chhiat-chhi2.  13 Ia5-sou chiu7 ka7 pe2-chong2 kong2, Khi3 ah, chiau3 li2 e5 sin3 ka7 li2 chiaN5; tu2-tu2 hit si5, i e5 lou5-pok8 chiu7 ho2.
	14 Ia5-sou jip8 Pi2-tek e5 ke, khoaN3-kiN3 i e5 tiuN7-m2, hoan7-tioh8 jiat8-piN7 to2-teh.  15 Chiu7 bong i e5 chhiu2, jiat8 chiu7 the3; hu7-jin5-lang5  chiu7 khi2-lai5 su-hau7 I.  16 Kau3 hong5-hun-am3, u7 lang5 chhoa7 choe7-choe7 hoan7-tioh8 kui2 e5 chiu7-kun7 I;  I eng7 chit8 ku3 oe7 koaN2-chhut hiah e5 sin5;  koh i-ho2 it-chhe3 u7 piN7 e5 lang5;  17 chiu7-si7 beh eng3-giam7 sian-ti I2-sai3-a sou2 kong2 e5, kong2, I pun2-sin thoe3-siu7 lan2 e5 loan2-jiok8, tam-tng lan2 e5 piN7-cheng3.
	18 Ia5-sou khoaN3-kiN3 kui toa7 tin7 e5 lang5 ui5 I, chiu7 hoan-hu3 ke3-khi3 hit peng5 hoaN7.  19 U7 chit8 e5 keng-hak8-su7 lai5, ka7 I kong2, Sian-siN ah, li2 bo5 lun7 ta2-loh8 khi3, goa2 beh te3 li2.  20 Ia5-sou chiu7 ka7 i kong2, Hou5-li5 u7 khang, thiN-tiong e5 pe-chiau2 u7 siu7;  tok8-tok8 Jin5-chu2 bo5 khoa3 thau5-khak e5 sou2-chai7.  21 Koh chit8 e5 hak8-seng ka7 I kong2, Chu2 ah, hou7 goa2 seng to3-khi3, bai5-chong3 goa2 e5 lau7-pe7.  22 Tok8-tok8 Ia5-sou ka7 i kong2, Li2 te3 goa2, chhut-chai7 si2 lang5 khi3 bai5-chong3 in e5 si2 lang5.
	23 I2-keng loh8 chun5, I e5 hak8-seng te3 I.  24 Hut-jian5 hai2-nih8 khi2 toa7 hong-eng2, ti3-kau3 chun5 hou7 eng2 kham3; na7-si7 Ia5-sou teh khun3.  25 Hak8-seng chiu7-kun7 lai5 kio3 I khi2-lai5, kong2, Chu2 ah, kiu3 ouh, beh bo5 mia7 lah!  26 I chiu7 ka7 in kong2, Sio2-sin3 e5 lang5 ah, chaiN2-iuN7 hiah bo5 taN2?  Chiu7 khi2-lai5, chek-pi7 hong kap hai2, chiu7 toa7 piN5-tiaN7.  27 Hiah e5 lang5 ki5-koai3 kong2, chit-e5 si7 sim2-mih8 ho7 lang5, hong kap hai2 iah8 sun7 I?
	28 I2-keng ke3-khi3 hit peng5 hoaN7, kau3 Ka-tai7-liap8 lang5 e5 toe7; u hoan7-tioh8 kui2 e5, nng7 lang5, tui3 thiong2-bong7 chhut-lai5, tu2-tioh8 I, se3-bin7 hiong5 kai3-kai3;  ti3-kau3 bo5 lang5 kaN2 tui3 hit tiau5 lou7 ke3.  29 In hut-jian5 au5-kio3 kong2, Siong7-te3 e5 KiaN2 ah, goan2 kap li2 u7 sim2-mih8 kan-siap8? si5 be7 kau3, li2 lai5 chia si7 beh khou2-chhou2 goan2 mah?  30 Li7 in hng7-hng7 u7 toa7 kun5 e5 ti teh tho2-chiah8;  31 hiah e5 kui2 kiu5 I kong2, Li2 na7 koaN2 goan2, chiu7 chhe goan2 jip8 ti kun5.  32 I chiu7 ka7 in kong2, Khi3 ah.  Kui2 chiu7 chhut-lai5, khi3 jip8 ti; hut-jian5 choan5-kun5 chong5 loh8 soaN-kham3, jip8 hai2, si2 ti7 chui2-nih8.  33 Kou3 ti e5 chau2 khi3 jip8 siaN5; chiong chiah e5 su7, i2-kip8 hoan7-tioh8 kui2 e5 lang5 sou2 tu2-tioh8 e5, long2 ka7 lang5 kong2.  34 Thong siaN5 e5 lang5 chhut-khi3, chhe7-tioh8 Ia5-sou; i2-keng kiN3-tioh8, chiu7 kiu5 I li7-khui in e5 toe7-kai3.

9	Ia5-sou loh8 chun5 ke3 hai2, khi3 kau3 I e5 pun2 siaN5.  2 Tu2-tng7 u7 lang5 kng chit8 e5 pian3-sui7 e5 to2 ti7 phou-a2-nih8 lai5 chiu7-kun7 I;  Ia5-sou khoaN3-kiN3 in e5 sin3, chiu7 ka7 pian3-sui7 e5 kong2, KiaN2 ah, choe3 li2 an-sim, li2 e5 choe7 sia3 lah.  3 U7 keng-hak8-su7 kui2-na7 lang5 sim-lai7 kong2, Chit lang5 chhiam3-koan5 lam7-sam2 kong2.  4 Ia5-sou chai in e5 sim-i3, chiu7 kong2, Lin2 siaN2-su7 sim-lai7 khng3 phaiN2 i3-su3 ah?  5 Kong2, Li2 e5 choe7 sia3, a2-si7 kong2, Khi2-lai5 kiaN5, ta2-loh8 chit8 hang7 khah khoai3?  6 Chong2-si7 beh hou7 lin2 chai, Jin5-chu2 ti7 toe7-nih8 u7 koan5 thang sia3 choe7, chiu7 ka7 pian3-sui7 e5 kong2, Khi2-lai5, gia5 li2 e5 phou-a2, to3-khi3 li2 e5 chhu3.  7 I chiu7 khi2-lai5, to3-khi3 i e5 chhu3.  8 Cheng3 lang5 khoaN3-kiN3 chiu7 kiaN; kui eng5-kng Siong7-te3, chiu7-si7 eng7 chit ho7 koan5 hou7 lang5 e5.
	9 Ia5-sou tui3 hia keng-ke3, khoaN3-kiN3 chit8 lang5, mia5 Ma2-thai3, che7 ti7 hiong3-koan; chiu7 ka7 i kong2, Te3 goa2; i chiu7 khi2-lai5 te3 I.  10 Ia5-sou che7 toh ti7 i e5 chhu3, u7 choe7-choe7 thiu-hiong3 e5 kap phaiN2 lang5 lai5, kap Ia5-sou chham I e5 hak8-seng tang5 che7.  11 Hoat-li7-sai3 lang5 khoaN3-kiN3, ka7 I e5 hak8-seng kong2, Lin2 sian-siN siaN2-su7 kap thiu-hiong3 e5 i2-kip8 phaiN2 lang5 saN-kap chiah8?  12 Ia5-sou thiaN-kiN3 chiu7 kong2, Iong2-kiaN7 e5 lang5 bo5 khiam3-eng7 i-seng, tok8-tok8 phoa3-piN7 e5 chiu7 tioh8.  13 Chong2-si7, Goa2 ai3 lin5-bin2, m7 ai3 che3-su7, chit ku3 sim2-mih8 i3-gi7, lin2 tioh8 khi3 oh8.  In-ui7 goa2 lai5 m7 si7 beh chio gi7 lang5, si7 beh chio phaiN2 lang5.
	14 Hit si5 Iok-han7 e5 hak8-seng chiu7-kun7 I kong2, Goan2 kap Hoat-li7-sai3 lang5 tauh8-tauh8 kim3-chiah8, na7-si7 li2 e5 hak8-seng bo5 kim3-chiah8, si7 chaiN2-iuN7?  15 Ia5-sou ka7 in kong2, Sin-kiaN2-sai3 kap ho7-chhoa7 e5 lang5 saN-kap ti7-teh, ho7-chhoa7 e5 lang5 kiam2 oe7 ai-siong mah?  tok8-tok8 si5-jit8 beh kau3, sin-kiaN2-sai3 tui3 in tiong-kan bo5--khi3, hit si5 in chiu7 beh kim3-chiah8.  16 Bo5 lang5 eng7 sin pou3 pou2 ku7 saN; in-ui7 sou2 pou2 e5 hit te3, oe7 kiu3-lih8 hit nia2 saN, i e5 phoa3-khang koh khah toa7.  17 Lang5 ia7 bo5 eng7 sin chiu2 toe2 ti7 ku7 phe5-long5; na7 si7 u7, chiu7 long5 lih8, chiu2 lau7, long5 iah8 soa3 phaiN2;  tok8-tok8 eng7 sin chiu2 toe2 ti7 sin phe5-long5, chiu7 nng7 hang7 long2 po2-choan5.
	18 Kong2 chiah e5 oe7 e5 si5, tu2-tng7 u7 chit8 e5 koaN lai5 pai3 I kong2, Goa2 e5 cha-bou2-kiaN2 tu2-a2 si2, chong2-si7 li2 lai5 eng7 chhiu2 bong i, i chiu7 oe7 oah8.  19 Ia5-sou khi2-lai5 te3 i khi3, I e5 hak8-seng iah8 khi3.  20 Tu2-tng7 u7 chit8 e5 hu7-jin5-lang5, hiat-lau7 chap8-ji7 ni5, kiaN5 oa2 I e5 ka-chiah-au7, bong I saN-a2-ku e5 chhiu;  21 in-ui7 i sim-lai7 phah-sng3 kong2, Goa2 kan-ta bong I e5 saN, chiu7 oe7 ho2.  22 Ia5-sou oat8-tng2-sin, khoaN3 i chiu7 kong2, Hu7-jin5-lang5 ah, choe3 li2 an-sim, li2 e5 sin3 hou7 li2 ho2 lah; tui3 hit si5 hu7-jin5-lang5 chiu7 ho2.  23 Ia5-sou kau3 hit e5 koaN e5 chhu3, khoaN3-kiN3 pun5 tat8-a2 e5, ia7 u7 cheng3 lang5 teh khau3;  24 chiu7 kong2, The3-khi3, in-ui7 cha-bou2 gin2-na2 m7 si7 si2, si7 teh khun3.  In chiu7 leng2-chhio3 I.  25 I2-keng koaN2 cheng3 lang5 chhut, chiu7 jip8-khi3, khan i e5 chhiu2; cha-bou2 gin2-na2 chiu7 khi2-lai5.  26 Chit e5 hong-siaN pian3 thoan5 ti7 hit e5 toe7-hng.
	27 Ia5-sou tui3 hia keng-ke3, u7 nng7 e5 chhiN-mi5 lang5 te3 I, kio3 kong2, Tai7-pit8 e5 hou7-e3, lin5-bin2 goan2.  28 I2-keng jip8 chhu3, chhiN-mi5 lang5 chiu7-kun7 I.  Ia5-sou ka7 in kong2, Lin2 sin3 goa2 oe7 choe3 chit e5 su7 mah?  In3 kong2, Chu2 ah, u7.  29 I chiu7 bong in e5 bak8-chiu kong2, chiau3 lin2 e5 sin3, ka7 lin2 choe3 chiaN5.  30 In e5 bak8-chiu chiu7 khui.  Ia5-sou giam5-giam5 hoan-hu3 in kong2, Kin2-sin7 boh8-tit hou7 lang5 chai.  31 Na7-si7 in chhut-khi3, pian3 thoan5 I e5 mia5 ti7 hit toe7-hng.
	32 In chhut-khi3 e5 si5, tu2-tng7 u7 lang5 chhoa7 chit8 e5 e2-kau2 hoan7-tioh8 kui2 e5 lai5 chiu7-kun7 Ia5-sou.  33 Kui2 i2-keng koaN2 chhut, e2-kau2 e5 chiu7 kong2 oe7; hiah e5 cheng3 lang5 long2 ki5-koai3 kong2, I2-sek-liat8 tiong be7 bat khoaN3-kiN3 an2-ni.  34 Na7-si7 Hoat-li7-sai3 lang5 kong2, I oa2-kho3 kui2-ong5 lai5 koaN2 kui2.
	35 Ia5-sou pian3 kiaN5 chiah e5 siaN5 chiah e5 hiuN-sia7, ti7 in e5 hoe7-tng5 ka3-si7 lang5, thoan5 thian-kok e5 hok-im, i-ho2 tak8 iuN7 e5 cheng3-thau5, tak8 iuN7 e5 piN7-thiaN3.  36 I khoaN3-kiN3 hiah e5 cheng3 lang5, chiu7 kho2-lin5 in; in-ui7 in khun3-khou2 si3-soaN3, chhin-chhiuN7 iuN5 bo5 bok8-chia2.  37 Tui3 an2-ni chiu7 ka7 I e5 hak8-seng kong2,  38 Thang siu-seng5 e5 si7 choe7, choe3 kang e5 si7 chio2; sou2-i2 lin2 tioh8 kiu5 hng5 Chu2 pek kang khi3 ka7 I siu-seng5.

10	Ia5-sou chiu7 kio3 I chap8-ji7 e5 hak8-seng lai5, hou7 in u7 che3-ap sia5-sin5 e5 koan5, lai5 koaN2-tiok8 in, soa3 i-ho2 tak8 iuN7 e5 cheng3-thau5, tak8 iuN7 e5 piN7-thiaN3.
	2 Chap8-ji7 su3-tou5 e5 mia5 chiu7-si7 chiah-e5: thau5-chit8-e5 Se-bun5 kio3 choe3 Pi2-tek, kap i e5 hiaN-ti7 An-tek-liat8; Se-pi2-thai3 e5 kiaN2 Nga2-kok, kap i e5 hiaN-ti7 Iok-han7;  3 Hui-lek8, kap Pa-to-lo5-mai2;  To-ma2, kap thiu-hiong3 e5 Ma2-thai3; A-lek8-hui e5 kiaN2 Nga2-kok, kap Tat8-thai3;  4 Ka-na2-ni5 e5 Se-bun5, kap Ka-liok8 lang5 Iu5-tai7, chiu7-si7 boe7 Ia5-sou e5.
	5 Ia5-sou chhe chi2 chap8-ji7 lang5, soa3 hoan-hu3 in kong2, Goa7-pang e5 lou7 boh8-tit kia5, Sat-ma2-li7-a lang5 e5 siaN5 boh8-tit jip8;  6 khah ho2 tioh8 khi3 chiu7-kun7 I2-sek-liat8 ke sit-loh8 e5 iuN5.  7 KiaN5 e5 si5, tioh8 thoan5 kong2, Thian-kok kun7 lah.  8 I-ho2 u7 piN7 e5; hou7 si2 e5 koh-oah8; hou7 thai2-ko e5 chheng-khi3; koaN2 kui2; lin2 peh8-peh8 tit-tioh8, tioh8 peh8-peh8 hou7 lang5.  9 Lin2 e5 io-tou2 lai7, long2 m7 thang u7 kim, gun5, tang5;  10 lou7-nih8 iah8 boh8-tit u7 tah-lian5, boh8-tit nng7 nia2 saN, boh8-tit oe5, boh8-tit koaiN2-a2; in-ui7 choe3-kang lang5 kham-tit tit-tioh8 i e5 lim-chiah8.  11 Lin2 sou2 jip8 e5, bo5 lun7 sim2-mih8 siaN5, sim2-mih8 hiuN-li2, tioh8 tham3-thiaN ki5-tiong chi7-chui7 oe7 kham-tit, chiu7 tiam3 ti7 hia, kau3 li7-khui e5 si5.  12 Jip8 hit e5 chhu3, tioh8 ka7 i chheng2-an.  13 Hit e5 chhu3 na7 oe7 kham-tit, chiu7 hou7 lin2 e5 peng5-an kau3 ti7 i; na7 boe7 kham-tit, chiu7 hou7 lin2 e5 peng5-an kui ti7 lin2.  14 KiN3-na7 m7 chiap-lap8 lin2, m7 thiaN lin2 e5 oe7 e5, chhut hit e5 chhu3, hit e5 siaN5 e5 si5, tioh8 poaN7-khi3 lin2 kha-nih8 e5 thou5-hun2.  15 Goa2 sit8-chai7 ka7 lin2 kong2, Tng sim2-phoaN3 e5 jit8, Sou2-to-ma2 kap Gou5-mou5-lah8 e5 toe7-hng pi2 hit e5 siaN5 iau2 khah khoai3 tam-tng.
